"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000248477",41.5454753170694,22.6484866940578,4.78534769863593,4.73288214783511,2.21354023789086e-06,0.00101771769245182,"NAIPP3"
"ENSG00000277518",24.4936660580724,-4.74545390871364,1.00505183483741,-4.7216011594878,2.33995198706736e-06,0.00104894197700262,"MUC6"
"ENSG00000206127",183.04801343481,-3.08182457812229,0.656558544284265,-4.69390674289661,2.68036260751806e-06,0.00117223370525381,"GOLGA8O"
"ENSG00000157881",96.0125331236323,22.3710256218312,4.78515347641263,4.67509051321013,2.93823999689301e-06,0.00125441860438782,"PANK4"
"ENSG00000236895",92.7009516060811,-3.51499258080605,0.752914164972994,-4.66851700277431,3.03381674090598e-06,0.00126510158095779,"GTF2H4"
"ENSG00000140945",72.4439338806906,-2.7503144964148,0.592240200245731,-4.64391727423037,3.4186449275228e-06,0.00139317550444117,"CDH13"
"ENSG00000250138",371.28344484396,-1.17240898346071,0.253609790516569,-4.62288534315914,3.78438920227201e-06,0.00150663705340209,"LOC728488"
"ENSG00000228177",153.775954478049,22.1004416910977,4.78519185529621,4.61850691872201,3.86511095067181e-06,0.00150663705340209,"C6orf47"
"ENSG00000183246",19.8110833984515,7.6168428356834,1.65527105607631,4.60156830974772,4.19321588328564e-06,0.00156642820839989,"RIMBP3C"
"ENSG00000165023",224.219977702619,-1.85482471613473,0.404993454647499,-4.57988813115299,4.65224697176375e-06,0.00170243756021828,"DIRAS2"
"ENSG00000023839",58.3258662197561,-2.81551076525883,0.620114375978571,-4.5403088112831,5.61718947042268e-06,0.00188346501192797,"ABCC2"
"ENSG00000235986",67.3378471058307,21.7173105468165,4.7853868647215,4.53825597819884,5.67213823234123e-06,0.00188346501192797,"GNL1"
"ENSG00000215156",147.972147280666,-1.77332965893539,0.393576630697351,-4.50567823550233,6.61612777777336e-06,0.00209622221931096,NA
"ENSG00000167549",353.639766452547,-1.14103349778107,0.253423278640515,-4.50248100293757,6.71647600649332e-06,0.00209622221931096,"CORO6"
"ENSG00000261716",420.250939634991,1.05306998758789,0.234381961693452,4.49296515815154,7.02382797962623e-06,0.00209622221931096,"H2BC20P"
"ENSG00000133805",240.354262615373,-1.19127725841785,0.265335476426579,-4.48970214786745,7.13228336445809e-06,0.00209622221931096,"AMPD3"
"ENSG00000205236",396.978256418101,-2.11159698140011,0.470679923583277,-4.48626949142968,7.2481053815894e-06,0.00209622221931096,NA
"ENSG00000258790",427.127429759749,1.38974271861914,0.31410200874675,4.42449484536612,9.6668211792219e-06,0.00270837141507231,"PRORP"
"ENSG00000184343",97.0916894697951,-1.82477111931464,0.41627585131116,-4.38356227863589,1.16754250960231e-05,0.00317200071813319,"SRPK3"
"ENSG00000196277",456.115541543278,-1.16206604628003,0.267485137803084,-4.3444135095667,1.3964824891461e-05,0.00369836389147335,"GRM7"
"ENSG00000182752",189.946169076264,-1.43033642602085,0.330765094253632,-4.32432699480697,1.52998216442752e-05,0.0038639591817394,"PAPPA"
"ENSG00000173442",584.475070965093,-1.5103078560156,0.350566260821278,-4.30819512544468,1.64592152246988e-05,0.00404287929032978,"EHBP1L1"
"ENSG00000272887",325.141349955039,-1.03987474039441,0.24707736831687,-4.20870089186316,2.56843116051165e-05,0.00582968849862462,NA
"ENSG00000263874",97.7548768255405,-1.65149910519466,0.399546340175876,-4.13343569726528,3.57380316252491e-05,0.00716007693016118,"LINC00672"
"ENSG00000281289",146.362506890278,1.29153682684381,0.31390539975424,4.114414176548,3.88163940924688e-05,0.00760763164978394,"LSS"
"ENSG00000198520",34.3320717897235,-3.06256941930532,0.750432199410092,-4.08107410864402,4.48280578762703e-05,0.00846117795557266,"ARMH1"
"ENSG00000271605",198.330965274726,-1.24800398358595,0.306693184745631,-4.06922633321975,4.71695085068607e-05,0.00871955110346927,"MILR1"
"ENSG00000151715",102.224162180862,-1.7092869801049,0.422244114780276,-4.04810137139357,5.16347836822938e-05,0.00935215460815364,"TMEM45B"
"ENSG00000227222",17.0376027856494,-7.46893630237164,1.86412510419535,-4.00667116469932,6.15805033420296e-05,0.0106173077444801,"DHX16"
"ENSG00000234947",19.3232055775567,7.8039931366727,1.95407438910605,3.99370319788228,6.50492818664114e-05,0.0109009221789404,"STK19"
"ENSG00000135502",222.24469631217,-1.1960174939455,0.301340922734172,-3.96898464069737,7.2179533579453e-05,0.0117659201510288,"SLC26A10P"
"ENSG00000170889",2476.42348242704,-1.06796817624032,0.271409811695249,-3.93489155594524,8.32342696480681e-05,0.0129780320787783,"RPS9"
"ENSG00000135124",570.338263409554,-1.03146223547685,0.265453827890789,-3.88565591113345,0.00010205397062517,0.0155078792142367,"P2RX4"
"ENSG00000173421",344.023491639891,-1.09874186699703,0.283671274791277,-3.87329266174544,0.000107374758293476,0.0161793007643724,"IHO1"
"ENSG00000143375",261.189706767141,-1.11294462752047,0.288494351878025,-3.85776920856675,0.000114426616765875,0.0169568897952802,"CGN"
"ENSG00000143473",855.822171998305,-1.06039254479672,0.278854956431788,-3.80266701501541,0.000143146700538234,0.0195936144072601,"KCNH1"
"ENSG00000282084",76.3791981436338,2.62966187570239,0.692355754038835,3.79813681097086,0.00014578785218781,0.0197458149180918,"UBE2Q2P2"
"ENSG00000112964",250.082494641784,-1.15910994525837,0.305622629196055,-3.7926181981597,0.000149067258035041,0.0197458149180918,"GHR"
"ENSG00000281379",73.6254015197046,-2.19084509591382,0.586989668064524,-3.73234013323893,0.000189709097522114,0.0232991358059522,NA
"ENSG00000171657",171.932499426958,-1.17812293902868,0.316193636947605,-3.72595397681547,0.000194577907589505,0.0234792729622808,"GPR82"
"ENSG00000254503",182.792093230475,-1.18981007270491,0.319364932665901,-3.72555014970794,0.000194889699692802,0.0234792729622808,"HMGB3P29"
"ENSG00000156194",88.7482330590425,-2.20652303430401,0.597267600129176,-3.69436251661196,0.000220439123868945,0.0258346008502879,"PPEF2"
"ENSG00000254984",201.044052358183,-1.3532177168567,0.368385068667242,-3.67337829883396,0.000239364706478212,0.0275131317426975,NA
"ENSG00000179915",355.36248326701,1.31963053153819,0.360225220728781,3.6633485264258,0.000248939452272284,0.028251476700597,"NRXN1"
"ENSG00000205929",165.528062980656,-1.08442771154151,0.299157191984958,-3.62494280798049,0.000289025406106724,0.0314091791327253,"C21orf62"
"ENSG00000288261",23.2289182454411,4.21602248842793,1.16962348048975,3.6045980255651,0.000312636434789507,0.03317091072314,NA
"ENSG00000198203",85.7945499780942,-1.51517938370038,0.421245754417775,-3.59690125730664,0.000322030658529946,0.0333927236309117,"SULT1C2"
"ENSG00000128274",198.111867529188,-1.14983551916469,0.320058864215158,-3.59257514077698,0.000327426195515175,0.0333927236309117,"A4GALT"
"ENSG00000160201",1504.78717446387,1.80827483962476,0.50826294071676,3.5577546477709,0.000374038432851632,0.0366496346418722,"U2AF1"
"ENSG00000074370",74.9933822272994,-1.69754909864329,0.479298907932435,-3.54173370844106,0.000397506547962418,0.0383209135027641,"ATP2A3"
"ENSG00000124208",16.1941133182672,7.2247876061375,2.05531173461387,3.5151784931033,0.000439458512244957,0.0407339065250526,"PEDS1-UBE2V1"
"ENSG00000235220",85.8455485873961,-10.6602136700227,3.04086106546078,-3.50565627318701,0.000455483025186067,0.041883416023648,"HLA-F"
"ENSG00000134321",58.9842936075422,-1.78261686400216,0.511182273093948,-3.4872431182185,0.000488027500024389,0.0439661090599142,"RSAD2"
"ENSG00000110169",16.1097976988195,-3.28164365712384,0.9413394949649,-3.48614253909128,0.000490039818583511,0.0439661090599142,"HPX"
"ENSG00000267385",91.7093256371365,-1.76208082615817,0.50651598528519,-3.47882569819793,0.000503616036684155,0.0446514990719041,NA
"ENSG00000139679",13.9697222104552,-4.88054498088025,1.40602817470573,-3.47115731297612,0.000518220309473561,0.0455500410253452,"LPAR6"
"ENSG00000230828",25.0887991658317,-3.42281531387167,0.988556722844169,-3.46243693940385,0.000535307340561403,0.046822419139544,NA
"ENSG00000227304",17.3695849184488,-3.56600317209635,1.03588781174987,-3.44246078740176,0.000576447429959232,0.0494558797444928,NA
"ENSG00000104848",131.648436288923,-1.35155249250572,0.393248245549763,-3.43689389031156,0.000588426076839398,0.049868209584268,"KCNA7"
"ENSG00000104518",61.7889526835533,-1.8599971825281,0.543885477047328,-3.41983241145864,0.000626597251011186,0.0520162745735258,"GSDMD"
"ENSG00000253203",3267.65083085113,4.07256529225218,1.19153408101847,3.41791758803168,0.000631022107475443,0.0521422000421298,"GUSBP3"
"ENSG00000182359",71.0300884853344,1.5082551640254,0.44540834954911,3.38623010896006,0.000708599390677503,0.0562207773196386,"KBTBD3"
"ENSG00000151322",31.4509365875165,-4.70277476844681,1.39319822289927,-3.37552452418455,0.000736751254607581,0.0576159638953032,"NPAS3"
"ENSG00000035664",506.101761259658,-1.0717522198034,0.317819500907969,-3.37220408672702,0.000745691696877638,0.0578831074316577,"DAPK2"
"ENSG00000204681",226.507716702885,-1.26607041340799,0.375762332453943,-3.36933828662342,0.000753488905925116,0.0580385028747953,"GABBR1"
"ENSG00000274914",133.037060598119,-1.50108356182462,0.448232041665474,-3.34889838809183,0.000811335451135867,0.0606168998929885,"LILRA5"
"ENSG00000278545",153.182324143915,-2.13618276142121,0.646389615056091,-3.30479127706257,0.000950471546810115,0.066573848850985,"MARCHF8"
"ENSG00000268750",45.6308000451831,-2.41741240895117,0.733606184587414,-3.29524540514983,0.000983357636140641,0.0683433557117746,NA
"ENSG00000282019",61.1599171990466,-2.57996460711389,0.788089091306798,-3.27369663604381,0.00106150505600787,0.0720979059063527,"GPI"
"ENSG00000196684",90.8920867132395,2.44919719279127,0.751250074523597,3.26016232922761,0.00111348465615263,0.074778626851958,"HSH2D"
"ENSG00000114626",128.981881964733,-1.09416748997204,0.337932110505354,-3.23783226262751,0.00120441600244217,0.0791076312812843,"ABTB1"
"ENSG00000107099",90.9125082309026,-1.86867160997594,0.578053519744785,-3.2326965343987,0.00122627752468331,0.0799577538003508,"DOCK8"
"ENSG00000214514",61.2015909337896,-1.78006735540355,0.5523798731477,-3.222542025762,0.00127058525169003,0.0805048203111445,"KRT42P"
"ENSG00000121075",34.5101688786979,-2.56519378271627,0.79663578082087,-3.22003335084075,0.0012817568410774,0.0809266968921084,"TBX4"
"ENSG00000158901",42.6765947751378,-2.12247120879875,0.659813473735514,-3.21677457840084,0.0012964041495956,0.0812655781984662,"WFDC8"
"ENSG00000099338",241.659200586784,-1.07975476505366,0.336080485001867,-3.2127862617422,0.00131454076400302,0.0812655781984662,"CATSPERG"
"ENSG00000275340",42.937937381966,-2.08945600518374,0.650412977595741,-3.21250663371975,0.00131582109714002,0.0812655781984662,"FGD5P1"
"ENSG00000275498",135.375334207389,1.5855989169076,0.493584797626405,3.21241441092305,0.00131624361003993,0.0812655781984662,"PDXDC1"
"ENSG00000203435",135.331181356454,-1.39467443083971,0.434361566084751,-3.21086058191343,0.00132338122993431,0.0812655781984662,NA
"ENSG00000115474",11.8116113222187,-6.42136073343341,2.00921359657482,-3.19595723639346,0.00139367766152435,0.0841415291205158,"KCNJ13"
"ENSG00000183629",11.9792968009882,-6.93228475491895,2.17491486336205,-3.18738212318013,0.00143566963936409,0.0858099743447916,"GOLGA8G"
"ENSG00000250264",15.7990051822884,-6.9436163942278,2.18168628560094,-3.18268324829992,0.0014591714819791,0.0865407486009958,NA
"ENSG00000271043",186.986406365055,2.2224509177545,0.699467721410587,3.17734592994882,0.00148629637029073,0.0876670401831678,NA
"ENSG00000280004",368.003572194136,-1.04875709557283,0.332671214909243,-3.1525333379353,0.00161860337799511,0.093623152163969,NA
"ENSG00000186723",463.087387737105,-1.01617006884195,0.322581907092283,-3.15011489020444,0.00163206267598658,0.0937965251381902,"OR10H1"
"ENSG00000070601",224.758467679146,-1.46363014689464,0.472405445397749,-3.09824994854222,0.00194667169583236,0.1054554990271,"FRMPD1"
"ENSG00000105388",106.347839771314,-1.56078210949599,0.504549713344887,-3.09341590771871,0.00197866620348784,0.106544936020242,"CEACAM5"
"ENSG00000101605",41.7223799829868,-2.23002309308878,0.722043077922796,-3.08849037027569,0.0020117621334752,0.108002715016,"MYOM1"
"ENSG00000101892",60.4708070054254,-1.53436057668909,0.497231574873309,-3.08580680356036,0.00203000675016855,0.108656868767977,"ATP1B4"
"ENSG00000128573",35.7929482560586,-1.9068476511421,0.620092712841563,-3.07510088677548,0.00210431359566271,0.110007134355184,"FOXP2"
"ENSG00000226690",78.7258468816301,-1.44591806010148,0.471768318683277,-3.06489012262862,0.0021774997897437,0.112197553821535,"LOC102725191"
"ENSG00000272595",135.349106408272,-1.19013508880222,0.390364824876465,-3.04877645976132,0.00229775387121718,0.116689339610189,NA
"ENSG00000205922",104.113105403427,-1.24949460713215,0.411127667632025,-3.03918881044634,0.00237216132962561,0.117982707167625,"ONECUT3"
"ENSG00000115648",50.8963344310677,-2.87115643051881,0.946466972845948,-3.03355163243096,0.0024169334815437,0.119315030338779,"MLPH"
"ENSG00000184601",12.5765937372708,-4.40464568336248,1.45299564920088,-3.03142386268325,0.0024340329754553,0.119315030338779,"C14orf180"
"ENSG00000206262",85.1984490575677,-1.21951022072915,0.402297477232472,-3.03136432551986,0.0024345130251183,0.119315030338779,"FOXL2NB"
"ENSG00000216819",635.324924622122,4.95782803021487,1.64130246511659,3.02066690057808,0.00252218660741537,0.121132260289623,"TUBB2BP1"
"ENSG00000188778",26.2009870110223,-2.91448542133232,0.965062092709853,-3.0199978253716,0.00252776500451785,0.121132260289623,"ADRB3"
"ENSG00000091262",95.9623554007912,1.96873857278338,0.652043699606317,3.01933532058057,0.00253329973836422,0.121132260289623,"ABCC6"
"ENSG00000135824",22.4888837323174,-2.34850636501087,0.778969721660715,-3.01488787010104,0.00257074276249702,0.122310671052224,"RGS8"
"ENSG00000261509",36.4334941780555,-8.32626654929043,2.76180803454984,-3.01478829995785,0.00257158680423224,0.122310671052224,"TP53TG3B"
"ENSG00000081985",107.784752377895,-1.1652970307993,0.387738274961174,-3.0053701325101,0.00265257843329319,0.123862978873386,"IL12RB2"
"ENSG00000150637",54.6420135124141,-1.63629894838528,0.545927874409814,-2.99728045605702,0.00272399984711996,0.126211992916558,"CD226"
"ENSG00000074660",50.3889028319125,-1.75390639128199,0.587393574029901,-2.98591348088651,0.00282732623055472,0.129659300869761,"SCARF1"
"ENSG00000261143",37.8528998496805,-3.28468118022296,1.10388650187653,-2.97556059852098,0.00292453563489013,0.132395554135904,"ADAMTS7P3"
"ENSG00000278184",13.0743293339297,-5.84325596002063,1.96421700551151,-2.97485254614164,0.00293129412703997,0.132395554135904,NA
"ENSG00000255872",25.3729616226064,-2.732202153516,0.921892199452875,-2.96368941524564,0.00303974918743375,0.134915204653155,NA
"ENSG00000163131",86.9453208709812,-1.38550888622325,0.469265573472782,-2.9525048598171,0.00315207108473231,0.137392410614706,"CTSS"
"ENSG00000215354",8.43557270583105,7.48036349592281,2.5345218423032,2.95139042444596,0.00316346768133993,0.137392410614706,"FAM90A24P"
"ENSG00000255192",15.7815056454789,4.6966782069908,1.5997966836699,2.93579693903148,0.00332692026229666,0.142715328285267,"NANOGP8"
"ENSG00000177575",133.330051259033,-1.09308849076807,0.372513231953835,-2.93436151256914,0.00334234668101122,0.143034888632965,"CD163"
"ENSG00000285585",10.0893110134952,-7.29781364744914,2.49045317883344,-2.93031553834211,0.00338617967687449,0.144497368626714,NA
"ENSG00000144847",28.2987764688031,-2.75172511603745,0.940277788969567,-2.92650230423184,0.00342796966481484,0.144628056611282,"IGSF11"
"ENSG00000139351",67.5262261722556,-1.82509713221484,0.623816857055926,-2.92569383396963,0.00343688994890898,0.144664022708655,"SYCP3"
"ENSG00000255639",43.5994661915435,2.73085787527932,0.938129794143397,2.91095954134241,0.00360320671499234,0.149905103495424,NA
"ENSG00000251158",40.972969768007,-3.11984785087292,1.07899101635423,-2.89144932959172,0.00383469423828603,0.155066266136312,"LOC728506"
"ENSG00000100031",34.0864294788167,-2.64566300619908,0.919415292459878,-2.87754949030776,0.00400777039505998,0.156906836143713,"GGT1"
"ENSG00000140478",17.7889946049012,5.79130322780077,2.01578997834438,2.87296955040788,0.00406633306716229,0.158852763022412,"GOLGA6D"
"ENSG00000182545",164.134573957963,-1.31450623508796,0.458392131383391,-2.86764572315167,0.00413538314200879,0.159123508839827,"RNASE10"
"ENSG00000177144",30.7060780796225,2.96478527139484,1.03461843359557,2.86558326734179,0.00416241789772232,0.159479306247989,"NUDT4B"
"ENSG00000214695",14.4935444534621,-5.72167957453105,1.99751210552214,-2.86440295341061,0.00417796154515566,0.159733536175237,NA
"ENSG00000231942",10.2547428596011,-4.26560195847012,1.49101887870991,-2.86086381559493,0.00422488491661797,0.160841637876596,NA
"ENSG00000079112",79.7483959687777,-1.35060350717918,0.47280145804196,-2.85659759335876,0.00428208340428347,0.161646394783593,"CDH17"
"ENSG00000213780",153.034431833549,1.34003241322833,0.469998248905037,2.85114341670469,0.004356231621547,0.162318217951671,"GTF2H4"
"ENSG00000154099",218.738844912899,-1.03407582807713,0.362944750651074,-2.84912738432539,0.00438393240353101,0.162318217951671,"DNAAF1"
"ENSG00000119283",56.932015074021,1.3935917506043,0.489250579539447,2.84842125668231,0.00439367246325362,0.162318217951671,"TRIM67"
"ENSG00000283342",7.67850926699839,-5.58710684524483,1.96311863063377,-2.84603628026346,0.00442671510883983,0.162318217951671,NA
"ENSG00000010327",8.35485001149753,-4.27399917304536,1.50174442636679,-2.84602299699262,0.00442689977081388,0.162318217951671,"STAB1"
"ENSG00000272220",24.0884188544169,3.89063105444212,1.36800165153752,2.84402511507889,0.00445475363600338,0.162354039526782,NA
"ENSG00000231512",38.3074363510669,-3.8463402774086,1.35780043418763,-2.83277290282342,0.00461461571540337,0.165563233285523,NA
"ENSG00000145623",61.7717619102344,-1.36315527865337,0.482865232047184,-2.82305535412863,0.00475683579195087,0.168489045490509,"OSMR"
"ENSG00000120903",14.5219189679194,3.24455004064638,1.15093738880375,2.81904999542909,0.00481660153392784,0.168888947392683,"CHRNA2"
"ENSG00000109452",57.1029763000061,-1.50284337269703,0.534710265340542,-2.81057512845749,0.00494530418611045,0.171742407035829,"INPP4B"
"ENSG00000235370",177.290211577383,-1.13540662834668,0.404370884109609,-2.80783476992107,0.00498758099252619,0.171985220724975,"CSPG4P5"
"ENSG00000233264",41.9595521718183,-1.6627780563863,0.593428820087701,-2.80198399555412,0.00507893931844748,0.173467544607775,NA
"ENSG00000266242",63.093275885777,-1.34994063046293,0.482020229577179,-2.80058916126213,0.00510094139538898,0.173887794982357,"GRAMD4P7"
"ENSG00000167123",251.130964022368,-1.08882907442834,0.389418757920806,-2.7960365346596,0.00517335518672708,0.175025343119251,"CERCAM"
"ENSG00000136449",118.318822819517,-1.11170933254189,0.398041954847769,-2.79294511295188,0.00522305535109455,0.175712205441794,"MYCBPAP"
