"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","ENSEMBL","ENTREZID"
"2","4967.48062012532","3.17089672589182","0.184642799846484","17.1731404015113","4.21959894996068e-66","7.5661628771745e-62","ENSG00000134323","4613"
"3","534.94374228318","3.74079839713109","0.372254043651572","10.0490470444223","9.27600681555747e-24","8.31640391048805e-20","ENSG00000205670","54065"
"4","534.94374228318","3.74079839713109","0.372254043651572","10.0490470444223","9.27600681555747e-24","8.31640391048805e-20","ENSG00000205670","102723553"
"5","108.935361136757","-5.0628330912225","0.544022167616821","-9.30629925137257","1.32363993508668e-20","7.91139589201311e-17","ENSG00000273590","102723553"
"6","185.98803934224","-2.63856249613831","0.361621257704948","-7.29648061312578","2.95392387704083e-13","1.32417022598048e-09","ENSG00000106560","26157"
"7","80.6791446922199","-10.7321065900151","1.53068803328063","-7.01129580729369","2.36120911379267e-12","8.46776812388329e-09","ENSG00000231945","7407"
"8","594.189288370639","23.3715839785341","3.46970909496864","6.73589149373496","1.62927843185773e-11","4.86909859360682e-08","ENSG00000230995","5514"
"9","4558.07296371344","-0.638478618871122","0.106414372027923","-5.99992845612607","1.97404486109197e-09","4.93979153123099e-06","ENSG00000137868","64220"
"10","1498.02041768584","1.00275073512549","0.167627527254763","5.98201710391812","2.20391122914773e-09","4.93979153123099e-06","ENSG00000091009","54439"
"11","408.141606956457","-1.32673962979792","0.224094349811983","-5.92045105515185","3.21059837311777e-09","6.39658215870831e-06","ENSG00000158270","81035"
"12","321.310709135737","-1.42778071270587","0.243184073788061","-5.87119333295735","4.32669343255314e-09","7.75819399391103e-06","ENSG00000235107","6015"
"13","6769.67746903202","0.579545271901472","0.10399128196831","5.57301786199808","2.50363889470099e-08","3.74106241840696e-05","ENSG00000239672","4830"
"14","805.170181859933","-0.984259402444069","0.177193380768099","-5.55471879467222","2.78059028907431e-08","3.83528957487627e-05","ENSG00000124574","89845"
"15","121.424393282022","-2.1181031290841","0.387026478710872","-5.47276025180289","4.43079366420098e-08","5.49400075640474e-05","ENSG00000161381","57125"
"16","2290.69921384568","-0.781866179201986","0.143034589678889","-5.4662734444673","4.59595177882277e-08","5.49400075640474e-05","ENSG00000108861","1845"
"17","7328.2709393211","-0.493696020079967","0.090865364464974","-5.43326957402204","5.5330720556688e-08","6.04929178256564e-05","ENSG00000080644","1136"
"18","986.069024012212","-0.850628082042226","0.156743879791605","-5.42686631958555","5.73520496924967e-08","6.04929178256564e-05","ENSG00000152700","51128"
"19","73.7723154616687","-3.6184812098405","0.672257683590874","-5.38258066536679","7.34254544056333e-08","7.31439901637451e-05","ENSG00000138079","6519"
"20","488.57380486397","-25.682364439703","4.78480831385376","-5.3674803158453","7.98442190702229e-08","7.5351931165693e-05","ENSG00000262826","65123"
"21","3298.76680691074","-0.531182059785268","0.0993734515735264","-5.34531156334291","9.02616575935509e-08","7.87109454005056e-05","ENSG00000123066","23389"
"22","1443.08551691786","-1.08088422000602","0.202359369978515","-5.34140929634629","9.2226759314057e-08","7.87109454005056e-05","ENSG00000163683","201895"
"23","3300.71916029737","0.57726519466047","0.108242812514391","5.33305797633189","9.65724610345839e-08","7.87109454005056e-05","ENSG00000084628","79570"
"24","296.134962666745","-24.6458326918639","4.78490420868322","-5.15074735396767","2.59450498645526e-07","0.000186088275648517","ENSG00000225989","23"
"25","23.4065389612459","-8.94583953994766","1.75289509148341","-5.10346545176136","3.33489417256651e-07","0.000229992259262654","ENSG00000256043","1519"
"26","682.934048943646","-0.893358241176737","0.175752995952002","-5.08303278893018","3.71455547894538e-07","0.000242622470978392","ENSG00000167323","6786"
"27","3752.89863021221","0.678973649168702","0.13526054411718","5.01974654619522","5.17397004924885e-07","0.000319911920527866","ENSG00000141510","7157"
"28","1201.86269806624","-0.906391655620454","0.181352273034628","-4.99796137348322","5.79395870433072e-07","0.000346304911757847","ENSG00000092330","26277"
"29","11855.1810214993","0.436855576337198","0.0887907347822401","4.92005812778315","8.65185138147441e-07","0.000484801084753805","ENSG00000115758","4953"
"30","450.804835687889","-1.32418696385375","0.270330074515928","-4.89840786758534","9.66163219920937e-07","0.00052497796049704","ENSG00000160321","7757"
"31","54.5749903621893","-8.04241061524535","1.6523962502801","-4.86711986539675","1.13236355270847e-06","0.000597188554812223","ENSG00000274726","9639"
"32","85.4785356107382","-2.25180346554922","0.470970039203232","-4.78120321487695","1.74249107514147e-06","0.000892703070524621","ENSG00000205771","440278"
"33","159.631992914819","22.8399383413868","4.78500033473342","4.77323651904389","1.81288675637669e-06","0.000902968678571955","ENSG00000234196","221527"
"34","3610.28633924697","-0.913209231832562","0.191604802703239","-4.76610825484868","1.87818372855335e-06","0.000910208444234867","ENSG00000205746","353512"
"35","900.871940906301","0.806501484560609","0.169586164143587","4.75570332422728","1.97756709514076e-06","0.000933151462709711","ENSG00000261992","57459"
"36","41.5454753170694","22.6484866940578","4.78534769863593","4.73288214783511","2.21354023789086e-06","0.00101771769245182","ENSG00000248477","643784"
"37","24.4936660580724","-4.74545390871364","1.00505183483741","-4.7216011594878","2.33995198706736e-06","0.00104894197700262","ENSG00000277518","4588"
"38","183.04801343481","-3.08182457812229","0.656558544284265","-4.69390674289661","2.68036260751806e-06","0.00117223370525381","ENSG00000206127","728047"
"39","96.0125331236323","22.3710256218312","4.78515347641263","4.67509051321013","2.93823999689301e-06","0.00125441860438782","ENSG00000157881","55229"
"40","92.7009516060811","-3.51499258080605","0.752914164972994","-4.66851700277431","3.03381674090598e-06","0.00126510158095779","ENSG00000236895","2968"
