"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","symbol"
"ENSG00000134323",4967.48062012532,2.42955160832861,0.184873578218317,13.1416919158646,1.89931931883881e-39,3.48563081393299e-35,"MYCN"
"ENSG00000205670",534.94374228318,3.44382044117311,0.372229363965783,9.25187740290603,2.20583624102846e-20,2.02407533476772e-16,"SMIM11"
"ENSG00000273590",108.935361136757,-4.58684078833726,0.544091732627405,-8.43027106143943,3.44865449559608e-17,2.10965691010598e-13,"LOC102723553"
"ENSG00000231945",80.6791446922199,-10.798673386909,1.53068803328063,-7.05478396127846,1.7286908893812e-12,7.93123380048093e-09,"VARS1"
"ENSG00000230995",594.189288370639,23.149828538575,3.46973230560966,6.67193503693288,2.52452323807632e-11,9.26601009303534e-08,"PPP1R10"
"ENSG00000278220",290.825938441018,-25.1798875373117,4.78486299993833,-5.26240511747906,1.42183044358938e-07,0.000326167903759404,"CLN8"
"ENSG00000205746",3610.28633924697,-1.00114448333497,0.191489925309723,-5.22818358049739,1.7118349347031e-07,0.000349062163574125,"PKD1P4"
"ENSG00000256043",23.4065389612459,-9.01240631282591,1.75289509148341,-5.14144078365753,2.72639585285743e-07,0.000411209944611738,"CTSO"
"ENSG00000261279",40.2989868511381,-9.01748645041281,1.75447627556296,-5.13970269989507,2.75173503256486e-07,0.000411209944611738,"ULK4P1"
"ENSG00000233348",341.321312127433,-24.5435680441992,4.78496137189718,-5.12931372619795,2.90800359537989e-07,0.000411209944611738,"BAG6"
"ENSG00000205534",1282.72764907497,-1.52277238419862,0.299347748104895,-5.08696789549598,3.63833394204248e-07,0.000476933603602597,NA
"ENSG00000281289",146.362506890278,-1.67404775941385,0.33159581222761,-5.0484586888111,4.45388753850558e-07,0.000544918294044362,"LSS"
"ENSG00000179886",239.883884546773,-23.5807955514568,4.7852221170469,-4.92783719849752,8.31448500872856e-07,0.000953671430501166,"TIGD5"
"ENSG00000179915",355.36248326701,1.76404894876415,0.359200398724581,4.91104396049611,9.05927731823737e-07,0.000977975631437013,"NRXN1"
"ENSG00000276203",335.756385470158,-1.46689889335409,0.31196187614296,-4.70217358444743,2.57406518517252e-06,0.00248627601464664,"ANKRD20A3P"
"ENSG00000183833",317.82325670429,-1.10954889201186,0.240860356182785,-4.60660653997306,4.09293401195958e-06,0.00349238261424627,"CFAP91"
"ENSG00000257635",25.4679146661161,-7.4649949581081,1.66247125794813,-4.49030016153278,7.11228755683708e-06,0.00518031961588027,NA
"ENSG00000174792",132.5577877675,-2.45354229824085,0.612476835009978,-4.00593485009253,6.1772675159605e-05,0.0365694236944862,"ODAPH"
"ENSG00000128573",35.7929482560586,-2.44656891703916,0.62369318236336,-3.92271229864719,8.75576826420998e-05,0.0457387058500615,"FOXP2"
"ENSG00000183246",19.8110833984515,6.48019092319784,1.66490540623514,3.89222768989113,9.93279586844961e-05,0.04926666750751,"RIMBP3C"
"ENSG00000241370",23.779592281344,-8.30303082002301,2.13801394655927,-3.88352509738544,0.000102952899689331,0.0497208319762789,"RPP21"
"ENSG00000283658",86.7438197548553,-2.79790939659504,0.741664347365983,-3.77247390484901,0.000161636876126824,0.0723502426994993,"RPL23AP7"
"ENSG00000288261",23.2289182454411,4.35371006083843,1.16743522999058,3.72929473858141,0.000192016448375626,0.0839020442997496,NA
"ENSG00000274305",560.742998696757,-1.08865586934966,0.296995916823574,-3.66555837195689,0.000246799508546806,0.0979142402103334,"LENG8"
"ENSG00000234947",19.3232055775567,7.15008763393384,1.95744703816923,3.65276173225162,0.000259434940514311,0.0991906255899717,"STK19"
"ENSG00000160201",1504.78717446387,1.85310101144695,0.508260367547722,3.64596795218929,0.000266387175831565,0.0997701520583853,"U2AF1"
"ENSG00000164669",48.3672709326505,2.14130304327252,0.603847864999766,3.54609690186343,0.000390982405794604,0.132876094650788,"INTS4P1"
"ENSG00000235220",85.8455485873961,-10.7267802371326,3.04086106546078,-3.5275469698275,0.000419429338807536,0.13805264961926,"HLA-F"
"ENSG00000205457",12.4056377501908,-7.22752304343476,2.05186388691814,-3.52241836776531,0.000427628715676949,0.13805264961926,"TP53TG3C"
"ENSG00000069812",71.3644614606843,1.57758094037896,0.448622932429685,3.5164964301646,0.0004372825392859,0.13805264961926,"HES2"
"ENSG00000006638",170.547071647657,1.21085866958446,0.34441798415417,3.51566621167626,0.000438652091658513,0.13805264961926,"TBXA2R"
